postal_area,post_office_cd,post_office_name,post_office_pronunciation
神田,1008,神田郵便局,かんだ
神田,1024,小川町駅前郵便局,おがわまちえきまえ
神田,1042,西神田郵便局,にしかんだ
神田,1077,神田北神保町郵便局,かんだきたじんぼうちょう
神田,1128,神田今川橋郵便局,かんだいまがわばし
神田,1131,神田南神保町郵便局,かんだみなみじんぼうちょう
神田,1298,小川町郵便局,おがわまち
神田,1439,神田駿河台郵便局,かんだするがだい
神田,1478,千代田鍛冶町郵便局,ちよだかじちょう
神田,1531,千代田岩本町郵便局,ちよだいわもとちょう
神田,1609,新御茶ノ水駅前郵便局,しんおちゃのみずえきまえ
神田,188,神田錦町郵便局,かんだにしきちょう
神田,236,東神田郵便局,ひがしかんだ
神田,254,神田須田町郵便局,かんだすだちょう
神田,288,秋葉原UDX内郵便局,あきはばらゆーでぃえっくすない
神田,329,神田駅前郵便局,かんだえきまえ
麹町,1252,麹町郵便局,こうじまち
麹町,1023,九段郵便局,くだん
麹町,1031,麹町本通郵便局,こうじまちほんどおり
麹町,1034,麹町飯田橋通郵便局,こうじまちいいだばしどおり
麹町,1384,千代田一番町郵便局,ちよだいちばんちょう
麹町,1513,半蔵門駅前郵便局,はんぞうもんえきまえ
麹町,414,都道府県会館内郵便局,とどうふけんかいかんない
麹町,541,ホテルニューオータニ内郵便局,ほてるにゅーおーたにない
麹町,838,最高裁判所内郵便局,さいこうさいばんしょない
麹町,840,千代田四番町郵便局,ちよだよんばんちょう
麹町,891,海事ビル内郵便局,かいじびるない
銀座,1016,東京中央郵便局,とうきょうちゅうおう
銀座,01016A,銀座郵便局 JPタワー内分室,ぎんざ じぇいぴーたわーない
銀座,1072,東京高等裁判所内郵便局,とうきょうこうとうさいばんしょない
銀座,1110,帝国ホテル内郵便局,ていこくほてるない
銀座,1203,宮内庁内郵便局,くないちょうない
銀座,1517,KDDI大手町ビル内郵便局,けいでぃでぃあいおおてまちびるない
銀座,1601,山王パークタワー内郵便局,さんのうぱーくたわーない
銀座,61,丸の内センタービル内郵便局,まるのうちせんたーびるない
銀座,66,第一生命館内郵便局,だいいちせいめいかんない
銀座,67,山王グランドビル内郵便局,さんのうぐらんどびるない
銀座,87,国会内郵便局,こっかいない
銀座,185,霞ヶ関郵便局,かすみがせき
銀座,210,霞が関ビル内郵便局,かすみがせきびるない
銀座,379,大手町ビル内郵便局,おおてまちびるない
銀座,439,NTT日比谷ビル内郵便局,えぬてぃてぃひびやびるない
銀座,620,第二霞ケ関郵便局,だいにかすみがせき
銀座,625,パレスサイドビル内郵便局,ぱれすさいどびるない
銀座,671,東京交通会館内郵便局,とうきょうこうつうかいかんない
銀座,683,鉄鋼ビル郵便局,てっこうびる
銀座,755,千代田霞が関郵便局,ちよだかすみがせき
